"number","station_name","lat","lng","bike_stands","average_bike_stands","average_bikes"
88,"00088 - LASCROSSES - DUPORTAL",43.61009,1.434974,25,15.1446842525979,8.53157474020783
89,"00089 - COMPANS - CAFFARELLI MÉTRO",43.611073,1.436704,22,12.8537170263789,8.19264588329337
90,"00090 - LASCROSSES - ARNAUD BERNARD",43.611271,1.438093,25,19.1814548361311,5.58113509192646
91,"00091 - ARCOLE - BALANCE",43.611556,1.439662,21,16.0807354116707,4.34212629896083
92,"00092 - CHALETS - DOUVILLÉ",43.613149,1.441326,15,9.21502797761791,5.57633892885691
93,"00093 - BD MATABIAU - INGRES",43.614574,1.443571,17,11.1878497202238,5.7585931254996
94,"00094 - LYON - SÉMARD",43.614083,1.451158,25,17.2270183852918,7.19504396482814
95,"00095 - THÉATRE GARONNE",43.602426,1.425347,22,10.792965627498,10.1622701838529
96,"00096 - MÉDIATHÈQUE JOSÉ CABANIS",43.609757,1.455212,25,18.2829736211031,5.16706634692246
97,"00097 - BONREPOS - RAYMOND IV",43.612475,1.451558,21,14.501998401279,6.19904076738609
98,"00098 - DEMOISELLES - CRAMPEL",43.58771,1.459838,21,9.18305355715428,9.4308553157474
99,"00099 - METZ - REMPART ST-ÉTIENNE",43.6008250248339,1.45065484986121,16,10.2230215827338,5.37010391686651
100,"00100 - PORT ST - SAUVEUR - SABATIER",43.596652,1.45564,20,13.6546762589928,5.61310951239009
102,"00102 -  MISTRAL - FLEURANCE",43.593567,1.453066,19,9.8449240607514,7.55635491606715
104,"00104 - AV. DE MURET TRAMWAY",43.589126,1.431449,18,8.80335731414868,9.03677058353317
105,"00105 - BILLIÈRE - CHAMPETRE",43.597539,1.428891,18,8.71063149480416,8.70263788968825
106,"00106 - BRIENNE - DELORME",43.608424,1.423848,21,10.7394084732214,8.84252597921663
107,"00107 - LASCROSSE - SÉBASTOPOL",43.60962,1.430401,27,18.4468425259792,7.19344524380496
108,"00108 - MARQUETTE - SÉBASTOPOL",43.612279,1.428827,20,11.4764188649081,7.73940847322142
109,"00109 - HOTEL DE DÉPARTEMENT",43.615275,1.434944,25,14.3557154276579,10.4796163069544
110,"00110 - SERRES - CABANEL",43.614227,1.437999,18,12.3501199040767,4.82334132693845
